0xe000 比`
0xe001 并`
0xe002 文`
0xe003 夫`
0xe004 大`
0xe005 天`
0xe006 乃`
0xe007 力`
0xe008 止`
0xe009 此`
0xe00a 厶`
0xe00b 央`
0xe00c 丩`
0xe00d 臼`
0xe00e 亾`
0xe00f 爻`
0xe010 古`
0xe011 夸`
0xe012 禾`
0xe013 ng`
0xf0000 ng`¯
0xf0001 ng`´
0xf0002 ng``
0xf0003 ng`⁼
0xf0004 ng`˝
0xf0005 ng`ﾞ
0xf0006 ng`'
0xf0007 ng`"
0xe014 m`
0xf0008 m`¯
0xf0009 m`´
0xf000a m``
0xf000b m`⁼
0xf000c m`˝
0xf000d m`ﾞ
0xf000e m`'
0xf000f m`"
0xe015 ng_m
0xe015 乍`
0xf0010 乍`¯
0xf0011 乍`´
0xf0012 乍``
0xf0013 乍`⁼
0xf0014 乍`˝
0xf0015 乍`ﾞ
0xf0016 乍`'
0xf0017 乍`"
0xe016 介`
0xf0018 介`¯
0xf0019 介`´
0xf001a 介``
0xf001b 介`⁼
0xf001c 介`˝
0xf001d 介`ﾞ
0xf001e 介`'
0xf001f 介`"
0xe017 丂`
0xf0020 丂`¯
0xf0021 丂`´
0xf0022 丂``
0xf0023 丂`⁼
0xf0024 丂`˝
0xf0025 丂`ﾞ
0xf0026 丂`'
0xf0027 丂`"
0xe018 彡`
0xf0028 彡`¯
0xf0029 彡`´
0xf002a 彡``
0xf002b 彡`⁼
0xf002c 彡`˝
0xf002d 彡`ﾞ
0xf002e 彡`'
0xf002f 彡`"
0xe019 万`
0xf0030 万`¯
0xf0031 万`´
0xf0032 万``
0xf0033 万`⁼
0xf0034 万`˝
0xf0035 万`ﾞ
0xf0036 万`'
0xf0037 万`"
0xe01a 生`
0xf0038 生`¯
0xf0039 生`´
0xf003a 生``
0xf003b 生`⁼
0xf003c 生`˝
0xf003d 生`ﾞ
0xf003e 生`'
0xf003f 生`"
0xe01b 甲`
0xf0040 甲`¯
0xf0041 甲`´
0xf0042 甲``
0xf0043 甲`⁼
0xf0044 甲`˝
0xf0045 甲`ﾞ
0xf0046 甲`'
0xf0047 甲`"
0xe01c 压`
0xf0048 压`¯
0xf0049 压`´
0xf004a 压``
0xf004b 压`⁼
0xf004c 压`˝
0xf004d 压`ﾞ
0xf004e 压`'
0xf004f 压`"
0xe01d 百`
0xf0050 百`¯
0xf0051 百`´
0xf0052 百``
0xf0053 百`⁼
0xf0054 百`˝
0xf0055 百`ﾞ
0xf0056 百`'
0xf0057 百`"
0xe01e 兮`
0xf0058 兮`¯
0xf0059 兮`´
0xf005a 兮``
0xf005b 兮`⁼
0xf005c 兮`˝
0xf005d 兮`ﾞ
0xf005e 兮`'
0xf005f 兮`"
0xe01f 久`
0xf0060 久`¯
0xf0061 久`´
0xf0062 久``
0xf0063 久`⁼
0xf0064 久`˝
0xf0065 久`ﾞ
0xf0066 久`'
0xf0067 久`"
0xe020 今`
0xf0068 今`¯
0xf0069 今`´
0xf006a 今``
0xf006b 今`⁼
0xf006c 今`˝
0xf006d 今`ﾞ
0xf006e 今`'
0xf006f 今`"
0xe021 云`
0xf0070 云`¯
0xf0071 云`´
0xf0072 云``
0xf0073 云`⁼
0xf0074 云`˝
0xf0075 云`ﾞ
0xf0076 云`'
0xf0077 云`"
0xe022 亙`
0xf0078 亙`¯
0xf0079 亙`´
0xf007a 亙``
0xf007b 亙`⁼
0xf007c 亙`˝
0xf007d 亙`ﾞ
0xf007e 亙`'
0xf007f 亙`"
0xe023 十`
0xf0080 十`¯
0xf0081 十`´
0xf0082 十``
0xf0083 十`⁼
0xf0084 十`˝
0xf0085 十`ﾞ
0xf0086 十`'
0xf0087 十`"
0xe024 乜`
0xf0088 乜`¯
0xf0089 乜`´
0xf008a 乜``
0xf008b 乜`⁼
0xf008c 乜`˝
0xf008d 乜`ﾞ
0xf008e 乜`'
0xf008f 乜`"
0xe025 仄`
0xf0090 仄`¯
0xf0091 仄`´
0xf0092 仄``
0xf0093 仄`⁼
0xf0094 仄`˝
0xf0095 仄`ﾞ
0xf0096 仄`'
0xf0097 仄`"
0xe026 旡`
0xf0098 旡`¯
0xf0099 旡`´
0xf009a 旡``
0xf009b 旡`⁼
0xf009c 旡`˝
0xf009d 旡`ﾞ
0xf009e 旡`'
0xf009f 旡`"
0xe027 丌`
0xf00a0 丌`¯
0xf00a1 丌`´
0xf00a2 丌``
0xf00a3 丌`⁼
0xf00a4 丌`˝
